City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,longyearbyen,78.2186,15.6401,269.06,80,100,9.77,SJ,1733723172
169,iqaluit,63.7506,-68.5145,251.31,69,75,10.8,CA,1733723173
170,lubango,-14.9172,13.4925,289.07,82,99,1.54,AO,1733723174
171,katsuura,35.1333,140.3,283.75,46,7,1.51,JP,1733723175
172,lebu,-37.6167,-73.65,284.73,79,66,7.48,CL,1733723177
173,portland,45.5234,-122.6762,281.27,95,75,0.45,US,1733722982
174,olonkinbyen,70.9221,-8.7187,272.97,98,100,5.67,SJ,1733723182
175,mossel bay,-34.1831,22.146,294.11,70,26,1.33,ZA,1733723183
176,maun,-19.9833,23.4167,297.13,83,0,1.54,BW,1733723037
177,kalecik,40.0972,33.4083,280.19,88,84,0.63,TR,1733723185
178,la union,-5.4,-80.75,293.95,78,89,4.96,PE,1733723186
179,chibougamau,49.9168,-74.3659,258.94,78,100,3.6,CA,1733723187
180,okha,53.5739,142.9478,267.07,83,100,11.63,RU,1733723188
181,ilulissat,69.2167,-51.1,271.16,43,69,6.69,GL,1733723189
182,"laikit, laikit ii (dimembe)",1.4792,124.9735,302.62,74,40,2.57,ID,1733723190
183,college,64.8569,-147.8028,261.14,79,75,0.0,US,1733723191
184,casteljaloux,44.3176,0.0861,279.88,95,98,1.79,FR,1733723192
185,ikot ekpene,5.1794,7.7108,295.87,53,100,1.34,NG,1733723193
186,nyurba,63.2842,118.3319,244.36,99,99,1.77,RU,1733723194
187,williams lake,52.1415,-122.1445,271.91,99,0,1.03,CA,1733723195
188,madang,-5.2246,145.7966,302.71,71,81,3.21,PG,1733723196
189,al mindak,20.1588,41.2834,290.61,15,0,1.85,SA,1733723197
190,hermanus,-34.4187,19.2345,293.6,66,46,1.72,ZA,1733723198
191,saint-philippe,-21.3585,55.7679,299.29,76,27,4.47,RE,1733723200
192,port blair,11.6667,92.75,303.17,74,40,4.63,IN,1733723201
193,el calafate,-50.3408,-72.2768,281.12,56,99,3.2,AR,1733723202
194,keflavik,64.0049,-22.5624,279.39,100,75,2.57,IS,1733723203
195,sitka,57.0531,-135.33,279.09,81,100,1.54,US,1733723204
196,george town,5.4112,100.3354,304.11,70,20,2.57,MY,1733723205
197,nagqu,31.5,92.0,270.77,15,99,4.17,CN,1733723207
198,pomorie,42.5588,27.6439,285.39,94,40,5.14,BG,1733723208
199,papao,-17.75,-149.55,301.97,81,92,9.74,PF,1733723209
200,cavalaire-sur-mer,43.174,6.5272,279.36,74,100,1.19,FR,1733723210
201,lompoc,34.6391,-120.4579,282.38,98,0,4.12,US,1733723211
202,touros,-5.1989,-35.4608,298.93,75,57,6.21,BR,1733723212
203,gore,-46.1028,168.9436,290.0,45,75,5.72,NZ,1733723213
204,dhidhdhoo,6.8833,73.1,300.53,71,37,2.07,MV,1733723214
205,kayangel,8.0823,134.7173,300.22,87,100,10.15,PW,1733723215
206,bubaque,11.2833,-15.8333,299.48,57,100,4.16,GW,1733723216
207,castillos,-34.1667,-53.8333,281.23,81,0,0.54,UY,1733723218
208,wailua homesteads,22.0669,-159.378,295.59,93,75,3.6,US,1733723219
209,kermanshah,34.3142,47.065,280.65,66,75,2.06,IR,1733723220
210,krasnozerskoye,53.9828,79.2374,253.17,97,69,1.22,RU,1733722949
211,bandon,51.7469,-8.7425,275.92,89,7,5.14,IE,1733723222
212,rome,34.257,-85.1647,281.9,91,100,1.54,US,1733723062
213,egilsstadir,65.2653,-14.3948,280.1,76,75,9.77,IS,1733723224
214,wanning,18.8003,110.3967,295.79,79,98,4.9,CN,1733723225
